"","iri2","iri1","o1","o2","Var1","Var2","jw","dl","lv","eq","jacc_all","jacc_c","sup_int_size_all","sup_int_size_c","ic_c","ic_all","sbcl12","sbcl21","thing1","thing2","def1","def2","bothsat","sbcl","lendiff"
"1","http://purl.obolibrary.org/obo/FLOPO_0012901","http://opendata.inra.fr/ATOL/ATOL_0000854","atol","flopo","substrate-directed stereotyped behavior","fruit movement behavioral quality",0.425851925851926,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,NA,"'has_part' some   
    ('fruto (exact, Spanish)'  
     and ('has quality' some 'movement behavioral quality'))",TRUE,FALSE,6
"2","http://purl.obolibrary.org/obo/GO_0002211","http://purl.obolibrary.org/obo/FBcv_0000403","fbcv","go","chemosensitive behavior defective","behavioral defense response to insect",0.342249522249522,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'behavioural response to chemical stimulus')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,4
"3","http://purl.obolibrary.org/obo/GO_0002211","http://purl.obolibrary.org/obo/FBcv_0000403","fbcv","go","chemosensitive behavior defective","behavioral defense response to insect",0.342249522249522,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'behavioural response to chemical stimulus')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,4
"4","http://purl.obolibrary.org/obo/GO_0002211","http://purl.obolibrary.org/obo/FBcv_0000403","fbcv","go","chemosensitive behavior defective","behavioral defense response to insect",0.342249522249522,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'behavioural response to chemical stimulus')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,4
"5","http://purl.obolibrary.org/obo/GO_0002211","http://purl.obolibrary.org/obo/FBcv_0000403","fbcv","go","chemosensitive behavior defective","behavioral defense response to insect",0.342249522249522,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'behavioural response to chemical stimulus')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,4
"6","http://purl.obolibrary.org/obo/GO_0003051","http://purl.obolibrary.org/obo/FBcv_0000002","fbcv","go","thermotaxis behavior defective","angiotensin-mediated drinking behavior",0.38833067517278,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'thermotaxis')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,8
"7","http://purl.obolibrary.org/obo/GO_0003051","http://purl.obolibrary.org/obo/FBcv_0000002","fbcv","go","thermotaxis behavior defective","angiotensin-mediated drinking behavior",0.38833067517278,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'thermotaxis')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,8
"8","http://purl.obolibrary.org/obo/GO_0007632","http://purl.obolibrary.org/obo/FBcv_0000002","fbcv","go","thermotaxis behavior defective","behavioral response to visual stimulus",0.407852965747703,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'thermotaxis')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,8
"9","http://purl.obolibrary.org/obo/GO_0007632","http://purl.obolibrary.org/obo/FBcv_0000002","fbcv","go","thermotaxis behavior defective","behavioral response to visual stimulus",0.407852965747703,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'thermotaxis')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,8
"10","http://purl.obolibrary.org/obo/GO_0007632","http://purl.obolibrary.org/obo/FBcv_0000002","fbcv","go","thermotaxis behavior defective","behavioral response to visual stimulus",0.407852965747703,31,31,FALSE,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,"'quality'  
 and ('inheres_in' some 'thermotaxis')  
 and ('qualifier' some 'abnormal')",NA,TRUE,FALSE,8
